"url","post_id","post_url","comment_id","user_name","user_id","user_url","date_created","comment_text","num_likes","replies","num_replies","attached_files","video_length","source_type","subtype","type","commentator_profile","comment_link","get_all_replies","original_post_id","reply","limit_records","timestamp","input","error","error_code","warning","warning_code"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:19.763Z","{""url"":""https://www.facebook.com/cuprasingapore/videos/1148439796476098/"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:19.833Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid02aNE4uZrDdottE94twYj7aNq6wqs8hSPFkUjywWfJdeMSkkMWUxkxH2V9DBUDKbv2l"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:20.280Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid0ZEvHTbR9uCn133VuC7YnD47qCvoJ9ygbhXXasQ9E18v4PS5qfk79sjeFoeqxSjZ3l"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
"https://www.facebook.com/cuprasingapore/videos/664776569233046/?locale=en_US","525176553940260","https://www.facebook.com/cuprasingapore/videos/664776569233046/?locale=en_US","Y29tbWVudDo1MjUxNzY1NTM5NDAyNjBfOTUwODE1OTk3MjU0Mzgw","Han Andrew","pfbid0s5aN9fmyGpsbhPTZJCpDiyKqK7pGBH5BJXNjZ4AbVB6ndCUL9ZCkaGaJPQ9Qeifol",,"2025-03-09T16:09:30.000Z","Bring in the Terramar !",0,,0,,,"TextWithEntities","TextWithEntities","Comment",,"https://www.facebook.com/cuprasingapore/videos/664776569233046/?locale=en_US&comment_id=Y29tbWVudDo1MjUxNzY1NTM5NDAyNjBfOTUwODE1OTk3MjU0Mzgw",,,,,"2025-05-29T10:21:20.397Z","{""url"":""https://www.facebook.com/cuprasingapore/videos/664776569233046/"",""get_all_replies"":true,""limit_records"":""""}",,,,
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:20.936Z","{""url"":""https://www.facebook.com/cuprasingapore/videos/1289452358989803/"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
"https://www.facebook.com/cuprasingapore/videos/641870665207062/?locale=en_US","532707593187156","https://www.facebook.com/cuprasingapore/videos/641870665207062/?locale=en_US","Y29tbWVudDo1MzI3MDc1OTMxODcxNTZfOTc4ODM2NDA0MzU0OTY3","Alfred Choi","pfbid03FXixwPmbf6juGEgF1BLqWa9dwGjQXAWcFrBNWu1uLxenRbCtTAbMsCmm4K9Gee6l",,"2025-03-22T01:01:50.000Z","Congratulations for a great launch!",0,,0,,,"TextWithEntities","TextWithEntities","Comment",,"https://www.facebook.com/cuprasingapore/videos/641870665207062/?locale=en_US&comment_id=Y29tbWVudDo1MzI3MDc1OTMxODcxNTZfOTc4ODM2NDA0MzU0OTY3",,,,,"2025-05-29T10:21:20.954Z","{""url"":""https://www.facebook.com/cuprasingapore/videos/641870665207062/"",""get_all_replies"":true,""limit_records"":""""}",,,,
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:21.072Z","{""url"":""https://www.facebook.com/reel/1049398903611198/"",""get_all_replies"":true,""limit_records"":""""}",,,"For this type of posts (reels) comments are not available.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:21.812Z","{""url"":""https://www.facebook.com/cuprasingapore/videos/1144848420236267/"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:21.850Z","{""url"":""https://www.facebook.com/cuprasingapore/videos/978836227137650/"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:22.619Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid0EP55HfzVMPKExDpnsviJii8nCZjBvyYCGYzrFVP3d25gvuSYgoqLkjbUhgmu5g21l"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:23.197Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid05tkb3HHa6pxDSPPkLQS2K6ok2zhEZgWF46MJvSw124x8xx2nPepS65tAJeCbxTE4l"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:29.675Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid0aHK7auRd8RcDqhThyQpwmEhyUDitBFwtqy6TrmMXsg9UYikbr7aBh4cnMfvvJikXl"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:38.016Z","{""url"":""https://www.facebook.com/cuprasingapore/videos/1678627726411056/"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:44.992Z","{""url"":""https://www.facebook.com/cuprasingapore/videos/2093651907784425/"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:22:10.530Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid02w4mn5VehCZvFQSoonmkua1ALH5PkQ4iGRdpygi7MpQQL75JUxNHKFtr2srLC6LvAl"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:25:29.837Z","{""url"":""https://www.facebook.com/events/628533076668332/"",""get_all_replies"":true,""limit_records"":""""}","Crawl failed after multiple attempts, please try again later","crawl_failed",,
